keys,pt_BR,en,es
site.desc.index,"Adventure Smash: puxe, mire e arremesse seus monstros em batalhas por turnos. Jogo online para Android, em beta.","Adventure Smash: pull, aim and sling your monsters in turn-based battles. Online game for Android, in beta.","Adventure Smash: tira, apunta y lanza tus monstruos en batallas por turnos. Juego en línea para Android, en beta."
site.langs.label,Idioma,Language,Idioma
site.nav.delete,Excluir conta,Delete account,Eliminar cuenta
site.nav.privacy,Privacidade,Privacy,Privacidad
site.nav.support,Suporte,Support,Soporte
site.nav.terms,Termos,Terms,Términos
site.title.delete,Excluir conta — Adventure Smash,Delete account — Adventure Smash,Eliminar cuenta — Adventure Smash
site.title.index,Adventure Smash,Adventure Smash,Adventure Smash
site.title.privacy,Política de privacidade — Adventure Smash,Privacy policy — Adventure Smash,Política de privacidad — Adventure Smash
site.title.support,Suporte — Adventure Smash,Support — Adventure Smash,Soporte — Adventure Smash
site.title.terms,Termos de uso — Adventure Smash,Terms of use — Adventure Smash,Términos de uso — Adventure Smash
